hauljoin,vessel,cruise,haul,stratum,area_id,year,latitude,longitude,start_time,species_code,common_name,specimenid,length_mm,weight_g,age,sex,stationid,cpue_kg_km2,number_fish,cpue_no_km2,effot_km2
-13481,89,200501,1,10,1,2005,57.33841,-159.0605,6/3/2005 6:55,21720,Pacific cod,17,550,1912,4,1,NA,NA,NA,NA,NA
-13481,89,200501,1,10,1,2005,57.33841,-159.0605,6/3/2005 6:55,21720,Pacific cod,18,640,2836,7,1,NA,NA,NA,NA,NA
-13481,89,200501,1,10,1,2005,57.33841,-159.0605,6/3/2005 6:55,21720,Pacific cod,19,670,2848,8,1,NA,NA,NA,NA,NA
-13481,89,200501,1,10,1,2005,57.33841,-159.0605,6/3/2005 6:55,21720,Pacific cod,20,580,1910,5,1,NA,NA,NA,NA,NA
-13481,89,200501,1,10,1,2005,57.33841,-159.0605,6/3/2005 6:55,21720,Pacific cod,21,590,2184,5,1,NA,NA,NA,NA,NA
-13482,89,200501,2,10,1,2005,57.673975,-159.01765,6/3/2005 10:11,21720,Pacific cod,1,160,36,1,3,NA,NA,NA,NA,NA
-13482,89,200501,2,10,1,2005,57.673975,-159.01765,6/3/2005 10:11,21720,Pacific cod,2,140,14,1,3,NA,NA,NA,NA,NA
-13482,89,200501,2,10,1,2005,57.673975,-159.01765,6/3/2005 10:11,21720,Pacific cod,3,130,18,1,3,NA,NA,NA,NA,NA
-13482,89,200501,2,10,1,2005,57.673975,-159.01765,6/3/2005 10:11,21720,Pacific cod,4,150,30,1,3,NA,NA,NA,NA,NA
-13482,89,200501,2,10,1,2005,57.673975,-159.01765,6/3/2005 10:11,21720,Pacific cod,5,120,16,1,3,NA,NA,NA,NA,NA
-13482,89,200501,2,10,1,2005,57.673975,-159.01765,6/3/2005 10:11,21720,Pacific cod,6,680,3380,6,2,NA,NA,NA,NA,NA
-13482,89,200501,2,10,1,2005,57.673975,-159.01765,6/3/2005 10:11,21720,Pacific cod,7,330,376,2,2,NA,NA,NA,NA,NA
-13482,89,200501,2,10,1,2005,57.673975,-159.01765,6/3/2005 10:11,21720,Pacific cod,8,580,2024,4,2,NA,NA,NA,NA,NA
-13482,89,200501,2,10,1,2005,57.673975,-159.01765,6/3/2005 10:11,21720,Pacific cod,9,570,1966,5,2,NA,NA,NA,NA,NA
-13482,89,200501,2,10,1,2005,57.673975,-159.01765,6/3/2005 10:11,21720,Pacific cod,10,240,138,1,2,NA,NA,NA,NA,NA
-13482,89,200501,2,10,1,2005,57.673975,-159.01765,6/3/2005 10:11,21720,Pacific cod,11,520,1402,5,2,NA,NA,NA,NA,NA
-13482,89,200501,2,10,1,2005,57.673975,-159.01765,6/3/2005 10:11,21720,Pacific cod,12,740,4988,7,2,NA,NA,NA,NA,NA
-13482,89,200501,2,10,1,2005,57.673975,-159.01765,6/3/2005 10:11,21720,Pacific cod,13,660,3310,6,2,NA,NA,NA,NA,NA
-13482,89,200501,2,10,1,2005,57.673975,-159.01765,6/3/2005 10:11,21720,Pacific cod,14,590,2068,4,2,NA,NA,NA,NA,NA
-13483,89,200501,3,10,1,2005,57.998155,-158.980895,6/3/2005 13:05,21720,Pacific cod,15,630,2432,5,1,NA,NA,NA,NA,NA
-13483,89,200501,3,10,1,2005,57.998155,-158.980895,6/3/2005 13:05,21720,Pacific cod,16,730,3752,8,1,NA,NA,NA,NA,NA
-13486,89,200501,6,10,1,2005,57.99775,-160.206605,6/4/2005 9:30,21720,Pacific cod,22,690,3950,6,2,NA,NA,NA,NA,NA
-13486,89,200501,6,10,1,2005,57.99775,-160.206605,6/4/2005 9:30,21720,Pacific cod,23,600,2664,5,2,NA,NA,NA,NA,NA
-13486,89,200501,6,10,1,2005,57.99775,-160.206605,6/4/2005 9:30,21720,Pacific cod,24,430,762,4,2,NA,NA,NA,NA,NA
-13486,89,200501,6,10,1,2005,57.99775,-160.206605,6/4/2005 9:30,21720,Pacific cod,25,320,268,3,2,NA,NA,NA,NA,NA
-13486,89,200501,6,10,1,2005,57.99775,-160.206605,6/4/2005 9:30,21720,Pacific cod,26,340,392,3,2,NA,NA,NA,NA,NA
-13486,89,200501,6,10,1,2005,57.99775,-160.206605,6/4/2005 9:30,21720,Pacific cod,27,530,1440,6,1,NA,NA,NA,NA,NA
-13486,89,200501,6,10,1,2005,57.99775,-160.206605,6/4/2005 9:30,21720,Pacific cod,28,570,2320,6,1,NA,NA,NA,NA,NA
-13486,89,200501,6,10,1,2005,57.99775,-160.206605,6/4/2005 9:30,21720,Pacific cod,29,610,2092,6,1,NA,NA,NA,NA,NA
-13486,89,200501,6,10,1,2005,57.99775,-160.206605,6/4/2005 9:30,21720,Pacific cod,30,520,1568,NA,1,NA,NA,NA,NA,NA
-13486,89,200501,6,10,1,2005,57.99775,-160.206605,6/4/2005 9:30,21720,Pacific cod,31,680,3194,6,1,NA,NA,NA,NA,NA
-13486,89,200501,6,10,1,2005,57.99775,-160.206605,6/4/2005 9:30,21720,Pacific cod,32,250,142,2,1,NA,NA,NA,NA,NA
-13487,89,200501,7,31,3,2005,57.66536,-160.269855,6/4/2005 12:11,21720,Pacific cod,33,330,370,3,2,NA,NA,NA,NA,NA
-13487,89,200501,7,31,3,2005,57.66536,-160.269855,6/4/2005 12:11,21720,Pacific cod,34,450,966,4,2,NA,NA,NA,NA,NA
-13487,89,200501,7,31,3,2005,57.66536,-160.269855,6/4/2005 12:11,21720,Pacific cod,35,350,482,3,2,NA,NA,NA,NA,NA
-13487,89,200501,7,31,3,2005,57.66536,-160.269855,6/4/2005 12:11,21720,Pacific cod,36,370,524,NA,2,NA,NA,NA,NA,NA
-13487,89,200501,7,31,3,2005,57.66536,-160.269855,6/4/2005 12:11,21720,Pacific cod,37,350,432,3,2,NA,NA,NA,NA,NA
-13487,89,200501,7,31,3,2005,57.66536,-160.269855,6/4/2005 12:11,21720,Pacific cod,38,310,322,2,2,NA,NA,NA,NA,NA
-13487,89,200501,7,31,3,2005,57.66536,-160.269855,6/4/2005 12:11,21720,Pacific cod,39,200,94,2,2,NA,NA,NA,NA,NA
-13487,89,200501,7,31,3,2005,57.66536,-160.269855,6/4/2005 12:11,21720,Pacific cod,40,240,132,2,2,NA,NA,NA,NA,NA
-13487,89,200501,7,31,3,2005,57.66536,-160.269855,6/4/2005 12:11,21720,Pacific cod,41,190,64,1,2,NA,NA,NA,NA,NA
-13487,89,200501,7,31,3,2005,57.66536,-160.269855,6/4/2005 12:11,21720,Pacific cod,42,240,142,2,2,NA,NA,NA,NA,NA
-13487,89,200501,7,31,3,2005,57.66536,-160.269855,6/4/2005 12:11,21720,Pacific cod,43,280,210,2,2,NA,NA,NA,NA,NA
